step,elocal,weight,weightvar,elocalvar,eref,tau
124,(0.23027279360369768+0.0016564009177591288j),(0.9869642890029475+0.00011462933584148704j),0.0015664822581668639,0.15861881011679327,(0.23014755075913418+0.0016561276179056297j),0.01
125,(-0.1557360939287146-0.012601289592351267j),(1.0038681653420303+0.00014314245589367775j),0.0019490767709257387,0.1939795592754322,(-0.15592378859019018-0.012602961360653172j),0.01
126,(-1.9353448435155167-0.01637376930424449j),(1.0179553265544545+3.846932535017014e-05j),0.0019473790973412862,0.19135548849636244,(-1.9355272223600521-0.01638203931509217j),0.01
127,(-3.4547674504989225-0.00743743311404525j),(1.0153096623448208-9.083548994139704e-05j),0.0016116322217368034,0.15878259509072354,(-3.4548928244139523-0.007435459461881396j),0.01
128,(-3.157478273479338+0.006317845446568661j),(0.9970313227825282-0.00013704103231764015j),0.0014611573538593082,0.14661287241665993,(-3.157584521008916+0.006309447876854949j),0.01
129,(-1.3742324812804387+0.010910401835911993j),(0.9823249434316775-4.5156117357228705e-05j),0.0008834834073714547,0.08991526674503093,(-1.3742720528694365+0.010906309396798906j),0.01
130,(0.1453664644772875-0.0021094334300521067j),(0.9849206669797534+0.00012828328139521318j),0.002077832884925072,0.21072232210956643,(0.14514531800888464-0.002118422946687945j),0.01
131,(-0.14664861730286624-0.014788381416970873j),(1.0029257880604399+0.00012714800066578074j),0.0026924579014224845,0.2679899734740599,(-0.14700711288793217-0.014796130659287515j),0.01
132,(-1.959351902546526-0.01523075491375852j),(1.0182914480040446+4.551569199947404e-06j),0.002384137186280135,0.2337733326929093,(-1.9596242992147181-0.015243111649733682j),0.01
133,(-3.4737090177020025-0.00430452483131574j),(1.0152609888258606-0.00011087001031439517j),0.00317968595397294,0.312242064091377,(-3.4741960244006025-0.004322765936274094j),0.01
134,(-3.1236386103781335+0.009026309104902368j),(0.9965024653689615-0.00013290882370393063j),0.001955455875956999,0.1961473344096801,(-3.123830383420399+0.00901476483105988j),0.01
135,(-1.2272038536623826+0.014209430159489148j),(0.9812161492802668-5.0868101044303426e-05j),0.0026949140663107642,0.274231372507613,(-1.2275797148649144+0.014198953965741879j),0.01
136,(0.37082785721008027+0.006506616543243454j),(0.9841445270527951+7.570840188531721e-05j),0.0017438236983565664,0.17721782958455803,(0.3706715521474868+0.006506140597903081j),0.01
137,(0.04627052102511251-0.008617413183816447j),(1.0032512773083662+0.00015176913103784716j),0.0020118239252175335,0.2005792630284691,(0.04607007444259276-0.008621587949554536j),0.01
138,(-1.9901531507508112-0.012328336563638877j),(1.0205732481592409+3.786768091999447e-05j),0.0021672762070708658,0.21242280886380724,(-1.9903777372025102-0.012332020392391611j),0.01
139,(-3.7466220820464557+0.0030044958367908842j),(1.0177199928084817-0.0001561367385005953j),0.002226807078747932,0.21880029234235177,(-3.746861325376078+0.0030097964510330116j),0.01
140,(-3.3538586152446266+0.020255948777235466j),(0.9960826315704022-0.00017178948211731904j),0.003149628422609181,0.3153797128265254,(-3.3543566711149704+0.020256305422204628j),0.01
141,(-1.1525727420835892+0.020071021397893428j),(0.9782247995473088+1.8137997126871922e-06j),0.001986714275240316,0.20306746021165806,(-1.152778774045812+0.02007088794827384j),0.01
142,(0.473894994361174+0.0037665479756966874j),(0.983866413201109+0.00016044110838478486j),0.0017621354442681387,0.17900102809478646,(0.47373490512213134+0.0037636835544784288j),0.01
143,(-0.12885571641687374-0.01391084968959376j),(1.0060468308623591+0.00017775263026187013j),0.002354032591576658,0.23376699266123144,(-0.1291288704539142-0.013904741309983502j),0.01
